init_mode,prior,AUC_mean,AUC_std,Best@10_mean,Best@10_std
bad,llm_good,1018.454135416666,36.45582136460434,52.52649999999997,1.0015220812176988
bad,llm_bad,1018.454135416666,36.45582136460434,52.52649999999996,1.0015220812176993
bad,heuristic,982.2755312500011,21.757921200413833,51.09862500000007,0.5002514558670679
bad,random_prior,895.6710937500006,192.2804061624387,46.327666666666694,10.11810161844167
bad,no_prior,547.8977395833323,195.25662681152878,27.892937499999952,9.922236552008325
good,no_prior,1118.9366666666738,2.2737367544323206e-13,55.9468333333337,7.105427357601002e-15
good,heuristic,1118.9366666666738,0.0,55.94683333333369,0.0
good,llm_good,1118.9366666666738,2.2737367544323206e-13,55.9468333333337,7.105427357601002e-15
good,llm_bad,1118.9366666666738,2.2737367544323206e-13,55.9468333333337,7.105427357601002e-15
good,random_prior,1118.9366666666738,2.2737367544323206e-13,55.9468333333337,7.105427357601002e-15
random,llm_good,1067.330374999999,30.68415929974834,53.725270833333276,1.2638340776996855
random,llm_bad,1067.330374999999,30.684159299748362,53.725270833333276,1.2638340776996853
random,random_prior,1052.3922812499982,36.41862484487739,52.71324999999993,1.626686710088275
random,heuristic,1045.9129687499994,38.157731462866124,52.58947916666665,1.5958869626269048
random,no_prior,976.6656458333318,168.27480990854403,48.85545833333324,8.460894873110043
